userId,userName,comment,star
0,匿名用户,买的是2人套餐的，食材也不算多刚好吃饱，食材确实挺新鲜的。因为汤底是清汤，然后调料也不是很多，吃起来感觉味道很清淡。服务态度都还不错，就前台收银的小姐姐感觉有点酷！总体来说就是还可以吧。,30
49330075,方人也1958,请老外吃，很满意过两天还再去,50
0,匿名用户,环境不错，菜品也可以，就是服务员有点偷懒,30
0,匿名用户,不错，服务周到 #海鲜姿造大礼包# #风生水起捞鱼生姿造#,50
199943517,紫曦小七,味道不错环境优雅还有音乐,50
0,匿名用户,吧台服务人员态度太差了，感觉像欠了她多少钱一样，下次不会再来了！,10
84254321,WPY550964567,食材不是有多么的好，姿造舒服了眼睛，环境舒服了心，还是值得拥有，赏心悦目。,30
1822048476,老皮台,味道不错，服务态度很好,50
32607106,MQb466582248,今天果盘忘记给我上了呢？其它都很好！,40
32230581,IRK839445657,环境优美，菜品味道好及了，服务热情周到，强烈推荐给朋友们。 #七彩面# #雪龙单层牛肉# #哈根达斯自助# #美美肥牛# #生猛海鲜姿造# #生鱼片# #水果拼盘# #冰淇淋# #龙胆鱼姿造#,40
1890815162,瘦瘦1265,主要性价比最高，然后量多环境不错，菜品也多哈哈哈，还有最重要是新鲜,50
22472162,lz123123,来了很多次。确实很赞。性价比高，分量足。服务周到。团购能长期的话会一直支持。,50
47525690,TM930515,吃了好几回了，还是喜欢三坊七巷这边的雍和会，强烈推荐,50
4144809,ndchendonghua,超级无敌超级无敌慢 等了30分钟还没上菜 态度不好,10
17203596,shuimuhua1,确实很好，服务周到，菜品新鲜，分量十足,50
8040464,天上来的泉水,两个人点四人餐才够吃，性价比高，服务也很好，海鲜新鲜，就是要中午去，不必额外收费,30
81368099,qwu997844541,平日晚上四人餐，食材新鲜，环境不错，服务热情，价格实惠，朋友小聚推荐,40
3549554,赢子林66,摆盘造型不错，海鲜不如刚开业时鲜美了。室内空气中有股霉味,30
215662495,慕毅尧,环境不错，菜肴造型好看，分量足，味道也还好。,40
0,匿名用户,很好吃。。。。,40
